iter	Passed	Remaining
0	1	118
1	2	143
2	4	134
3	5	120
4	6	116
5	7	111
6	8	112
7	9	111
8	11	112
9	12	109
10	13	111
11	14	109
12	16	109
13	18	114
14	20	114
15	21	113
16	22	111
17	24	109
18	25	108
19	26	105
20	28	106
21	29	105
22	31	104
23	33	105
24	34	104
25	36	103
26	37	101
27	38	99
28	39	97
29	41	96
30	42	95
31	43	92
32	44	90
33	46	90
34	47	88
35	48	86
36	49	85
37	51	83
38	52	81
39	53	80
40	54	78
41	55	76
42	56	74
43	57	72
44	58	71
45	59	70
46	61	69
47	62	68
48	63	66
49	65	65
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	73	57
56	75	57
57	76	55
58	77	54
59	79	52
60	80	51
61	81	50
62	83	48
63	84	47
64	85	46
65	86	44
66	88	43
67	89	41
68	90	40
69	91	39
70	93	38
71	94	36
72	94	35
73	95	33
74	96	32
75	98	31
76	99	29
77	100	28
78	101	26
79	102	25
80	103	24
81	104	23
82	105	21
83	106	20
84	107	19
85	108	17
86	109	16
87	110	15
88	111	13
89	112	12
90	114	11
91	115	10
92	117	8
93	118	7
94	119	6
95	120	5
96	122	3
97	124	2
98	125	1
99	126	0
